,key,titulo,entidad,url,edicion,af,escala,clave_carta,datum,iin,upc,imagen,siglas,absoluto,dominio,folder,extension,datos_abiertos,clave,peso,origen,web,control,url.valor,url.target,url.estilo,adicional.estilo,tipo,id,formato_orden
210,889463853466,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39d1,Ciudad de México,/app/biblioteca/ficha.html?upc=889463853466,2021,,1:10 000,e14a39d1,ITRF08 Época 2010.0,False,889463853466,/img/ico/ico_ascii.png,MB,,,,ascii,,19,10.06,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463853466_as.zip,_blank,,,Terreno,889463853466_210,0
224,889463853473,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39d2,Ciudad de México,/app/biblioteca/ficha.html?upc=889463853473,2021,,1:10 000,e14a39d2,ITRF08 Época 2010.0,False,889463853473,/img/ico/ico_ascii.png,MB,,,,ascii,,19,9.88,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463853473_as.zip,_blank,,,Terreno,889463853473_224,0
238,889463853480,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39d3,Ciudad de México,/app/biblioteca/ficha.html?upc=889463853480,2021,,1:10 000,e14a39d3,ITRF08 Época 2010.0,False,889463853480,/img/ico/ico_ascii.png,MB,,,,ascii,,19,10.36,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463853480_as.zip,_blank,,,Terreno,889463853480_238,0
252,889463853497,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39d4,Ciudad de México,/app/biblioteca/ficha.html?upc=889463853497,2021,,1:10 000,e14a39d4,ITRF08 Época 2010.0,False,889463853497,/img/ico/ico_ascii.png,MB,,,,ascii,,19,10.05,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463853497_as.zip,_blank,,,Terreno,889463853497_252,0
28,889463839668,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A38f2,"Ciudad de México, México",/app/biblioteca/ficha.html?upc=889463839668,2019,,1:10 000,e14a38f2,ITRF08 época 2010.0,False,889463839668,/img/ico/ico_ascii.png,MB,,,,ascii,,19,10.21,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463839668_as.zip,_blank,,,Terreno,889463839668_28,0
42,889463839675,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A38f4,"Ciudad de México, México",/app/biblioteca/ficha.html?upc=889463839675,2019,,1:10 000,e14a38f4,ITRF08 época 2010.0,False,889463839675,/img/ico/ico_ascii.png,MB,,,,ascii,,19,10.05,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463839675_as.zip,_blank,,,Terreno,889463839675_42,0
56,889463794370,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39a2,"Ciudad de México, México",/app/biblioteca/ficha.html?upc=889463794370,2019,,1:10 000,e14a39a2,ITRF08 época 2010.0.,False,889463794370,/img/ico/ico_ascii.png,MB,,,,ascii,,19,9.56,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463794370_as.zip,_blank,,margin-right:10px;,Terreno,889463794370_56,0
70,889463794394,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39a3,"Ciudad de México, México",/app/biblioteca/ficha.html?upc=889463794394,2019,,1:10 000,e14a39a3,ITRF08 época 2010.0.,False,889463794394,/img/ico/ico_ascii.png,MB,,,,ascii,,19,9.94,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463794394_as.zip,_blank,,margin-right:10px;,Terreno,889463794394_70,0
84,889463794417,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39a4,"Ciudad de México, México",/app/biblioteca/ficha.html?upc=889463794417,2019,,1:10 000,e14a39a4,ITRF08 época 2010.0.,False,889463794417,/img/ico/ico_ascii.png,MB,,,,ascii,,19,9.79,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463794417_as.zip,_blank,,margin-right:10px;,Terreno,889463794417_84,0
98,889463839682,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39b1,"Ciudad de México, México",/app/biblioteca/ficha.html?upc=889463839682,2018,,1:10 000,e14a39b1,ITRF08 época 2010.0,False,889463839682,/img/ico/ico_ascii.png,MB,,,,ascii,,19,8.44,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463839682_as.zip,_blank,,,Terreno,889463839682_98,0
