,key,titulo,entidad,url,edicion,af,escala,clave_carta,datum,iin,upc,imagen,siglas,absoluto,dominio,folder,extension,datos_abiertos,clave,peso,origen,web,control,url.valor,url.target,url.estilo,adicional.estilo,tipo,id,formato_orden
204,889463851431,Modelo digital de elevación de tipo terreno con resolución de 1.5 metros generado a partir de datos de altimetría del relieve. E14A39d1,Ciudad de México,/app/biblioteca/ficha.html?upc=889463851431,2021,,1:10 000,e14a39d1,ITRF08 Época 2010.0,False,889463851431,/img/ico/ico_bil.png,MB,,,,bil,,3,53.75,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/1_5m/terreno/889463851431_b.zip,_blank,,margin-right:10px;,Terreno,889463851431_204,0
218,889463851448,Modelo digital de elevación de tipo terreno con resolución de 1.5 metros generado a partir de datos de altimetría del relieve. E14A39d2,Ciudad de México,/app/biblioteca/ficha.html?upc=889463851448,2021,,1:10 000,e14a39d2,ITRF08 Época 2010.0,False,889463851448,/img/ico/ico_bil.png,MB,,,,bil,,3,51.32,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/1_5m/terreno/889463851448_b.zip,_blank,,margin-right:10px;,Terreno,889463851448_218,0
232,889463851455,Modelo digital de elevación de tipo terreno con resolución de 1.5 metros generado a partir de datos de altimetría del relieve. E14A39d3,Ciudad de México,/app/biblioteca/ficha.html?upc=889463851455,2021,,1:10 000,e14a39d3,ITRF08 Época 2010.0,False,889463851455,/img/ico/ico_bil.png,MB,,,,bil,,3,58.4,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/1_5m/terreno/889463851455_b.zip,_blank,,margin-right:10px;,Terreno,889463851455_232,0
246,889463851462,Modelo digital de elevación de tipo terreno con resolución de 1.5 metros generado a partir de datos de altimetría del relieve. E14A39d4,Ciudad de México,/app/biblioteca/ficha.html?upc=889463851462,2021,,1:10 000,e14a39d4,ITRF08 Época 2010.0,False,889463851462,/img/ico/ico_bil.png,MB,,,,bil,,3,52.7,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/1_5m/terreno/889463851462_b.zip,_blank,,margin-right:10px;,Terreno,889463851462_246,0
422,889463851479,Modelo digital de elevación de tipo terreno con resolución de 1.5 metros generado a partir de datos de altimetría del relieve. E14A49b1,Ciudad de México,/app/biblioteca/ficha.html?upc=889463851479,2021,,1:10 000,e14a49b1,ITRF08 Época 2010.0,False,889463851479,/img/ico/ico_bil.png,MB,,,,bil,,3,51.39,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/1_5m/terreno/889463851479_b.zip,_blank,,margin-right:10px;,Terreno,889463851479_422,0
436,889463851486,Modelo digital de elevación de tipo terreno con resolución de 1.5 metros generado a partir de datos de altimetría del relieve. E14A49b2,Ciudad de México,/app/biblioteca/ficha.html?upc=889463851486,2021,,1:10 000,e14a49b2,ITRF08 Época 2010.0,False,889463851486,/img/ico/ico_bil.png,MB,,,,bil,,3,50.08,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/1_5m/terreno/889463851486_b.zip,_blank,,margin-right:10px;,Terreno,889463851486_436,0
450,889463851493,Modelo digital de elevación de tipo terreno con resolución de 1.5 metros generado a partir de datos de altimetría del relieve. E14A49b3,Ciudad de México,/app/biblioteca/ficha.html?upc=889463851493,2021,,1:10 000,e14a49b3,ITRF08 Época 2010.0,False,889463851493,/img/ico/ico_bil.png,MB,,,,bil,,3,52.43,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/1_5m/terreno/889463851493_b.zip,_blank,,margin-right:10px;,Terreno,889463851493_450,0
464,889463851509,Modelo digital de elevación de tipo terreno con resolución de 1.5 metros generado a partir de datos de altimetría del relieve. E14A49b4,Ciudad de México,/app/biblioteca/ficha.html?upc=889463851509,2021,,1:10 000,e14a49b4,ITRF08 Época 2010.0,False,889463851509,/img/ico/ico_bil.png,MB,,,,bil,,3,50.82,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/1_5m/terreno/889463851509_b.zip,_blank,,margin-right:10px;,Terreno,889463851509_464,0
478,889463851516,Modelo digital de elevación de tipo terreno con resolución de 1.5 metros generado a partir de datos de altimetría del relieve. E14A49c1,Ciudad de México,/app/biblioteca/ficha.html?upc=889463851516,2021,,1:10 000,e14a49c1,ITRF08 Época 2010.0,False,889463851516,/img/ico/ico_bil.png,MB,,,,bil,,3,47.87,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/1_5m/terreno/889463851516_b.zip,_blank,,margin-right:10px;,Terreno,889463851516_478,0
492,889463851523,Modelo digital de elevación de tipo terreno con resolución de 1.5 metros generado a partir de datos de altimetría del relieve. E14A49c2,Ciudad de México,/app/biblioteca/ficha.html?upc=889463851523,2021,,1:10 000,e14a49c2,ITRF08 Época 2010.0,False,889463851523,/img/ico/ico_bil.png,MB,,,,bil,,3,49.96,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/1_5m/terreno/889463851523_b.zip,_blank,,margin-right:10px;,Terreno,889463851523_492,0
