,key,titulo,entidad,url,edicion,af,escala,clave_carta,datum,iin,upc,imagen,siglas,absoluto,dominio,folder,extension,datos_abiertos,clave,peso,origen,web,control,url.valor,url.target,url.estilo,adicional.estilo,tipo,id,formato_orden
211,889463853466,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39d1,Ciudad de México,/app/biblioteca/ficha.html?upc=889463853466,2021,,1:10 000,e14a39d1,ITRF08 Época 2010.0,False,889463853466,/img/ico/ico_grid.png,MB,,,,grid,,20,4.21,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463853466_gr.zip,_blank,,,Terreno,889463853466_211,0
225,889463853473,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39d2,Ciudad de México,/app/biblioteca/ficha.html?upc=889463853473,2021,,1:10 000,e14a39d2,ITRF08 Época 2010.0,False,889463853473,/img/ico/ico_grid.png,MB,,,,grid,,20,4.15,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463853473_gr.zip,_blank,,,Terreno,889463853473_225,0
239,889463853480,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39d3,Ciudad de México,/app/biblioteca/ficha.html?upc=889463853480,2021,,1:10 000,e14a39d3,ITRF08 Época 2010.0,False,889463853480,/img/ico/ico_grid.png,MB,,,,grid,,20,4.46,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463853480_gr.zip,_blank,,,Terreno,889463853480_239,0
253,889463853497,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39d4,Ciudad de México,/app/biblioteca/ficha.html?upc=889463853497,2021,,1:10 000,e14a39d4,ITRF08 Época 2010.0,False,889463853497,/img/ico/ico_grid.png,MB,,,,grid,,20,4.21,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463853497_gr.zip,_blank,,,Terreno,889463853497_253,0
29,889463839668,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A38f2,"Ciudad de México, México",/app/biblioteca/ficha.html?upc=889463839668,2019,,1:10 000,e14a38f2,ITRF08 época 2010.0,False,889463839668,/img/ico/ico_grid.png,MB,,,,grid,,20,4.35,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463839668_gr.zip,_blank,,,Terreno,889463839668_29,0
43,889463839675,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A38f4,"Ciudad de México, México",/app/biblioteca/ficha.html?upc=889463839675,2019,,1:10 000,e14a38f4,ITRF08 época 2010.0,False,889463839675,/img/ico/ico_grid.png,MB,,,,grid,,20,4.29,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463839675_gr.zip,_blank,,,Terreno,889463839675_43,0
57,889463794370,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39a2,"Ciudad de México, México",/app/biblioteca/ficha.html?upc=889463794370,2019,,1:10 000,e14a39a2,ITRF08 época 2010.0.,False,889463794370,/img/ico/ico_grid.png,MB,,,,grid,,20,3.71,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463794370_gr.zip,_blank,,margin-right:10px;,Terreno,889463794370_57,0
71,889463794394,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39a3,"Ciudad de México, México",/app/biblioteca/ficha.html?upc=889463794394,2019,,1:10 000,e14a39a3,ITRF08 época 2010.0.,False,889463794394,/img/ico/ico_grid.png,MB,,,,grid,,20,4.17,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463794394_gr.zip,_blank,,margin-right:10px;,Terreno,889463794394_71,0
85,889463794417,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39a4,"Ciudad de México, México",/app/biblioteca/ficha.html?upc=889463794417,2019,,1:10 000,e14a39a4,ITRF08 época 2010.0.,False,889463794417,/img/ico/ico_grid.png,MB,,,,grid,,20,4.0,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463794417_gr.zip,_blank,,margin-right:10px;,Terreno,889463794417_85,0
99,889463839682,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39b1,"Ciudad de México, México",/app/biblioteca/ficha.html?upc=889463839682,2018,,1:10 000,e14a39b1,ITRF08 época 2010.0,False,889463839682,/img/ico/ico_grid.png,MB,,,,grid,,20,2.4,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463839682_gr.zip,_blank,,,Terreno,889463839682_99,0
113,889463839699,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39b2,Ciudad de México,/app/biblioteca/ficha.html?upc=889463839699,2018,,1:10 000,e14a39b2,ITRF08 época 2010.0,False,889463839699,/img/ico/ico_grid.png,MB,,,,grid,,20,1.85,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463839699_gr.zip,_blank,,,Terreno,889463839699_113,0
127,889463839705,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39b3,Ciudad de México,/app/biblioteca/ficha.html?upc=889463839705,2018,,1:10 000,e14a39b3,ITRF08 época 2010.0,False,889463839705,/img/ico/ico_grid.png,MB,,,,grid,,20,3.24,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463839705_gr.zip,_blank,,,Terreno,889463839705_127,0
141,889463839712,Modelo digital de elevación tipo terreno con 5m de resolución derivado de datos de sensores remotos satelitales y aerotransportados. E14A39b4,Ciudad de México,/app/biblioteca/ficha.html?upc=889463839712,2018,,1:10 000,e14a39b4,ITRF08 época 2010.0,False,889463839712,/img/ico/ico_grid.png,MB,,,,grid,,20,1.59,1,False,False,/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/imagen_cartografica/1_10_000/lidar/Terreno_ASCII/889463839712_gr.zip,_blank,,,Terreno,889463839712_141,0
